subletterr	ᵣ	短縮よみ
subletters	ₛ	短縮よみ
sublettert	ₜ	短縮よみ
subletteru	ᵤ	短縮よみ
subletterv	ᵥ	短縮よみ
subletterx	ₓ	短縮よみ
1/2	½	短縮よみ
1/3	⅓	短縮よみ
2/3	⅔	短縮よみ
1/4	¼	短縮よみ
3/4	¾	短縮よみ
1/5	⅕	短縮よみ
2/5	⅖	短縮よみ
3/5	⅗	短縮よみ
4/5	⅘	短縮よみ
1/6	⅙	短縮よみ
5/6	⅚	短縮よみ
1/8	⅛	短縮よみ
3/8	⅜	短縮よみ
5/8	⅝	短縮よみ
7/8	⅞	短縮よみ
notleq	≰	短縮よみ
nleq	≰	短縮よみ
notgeq	≱	短縮よみ
ngeq	≱	短縮よみ
lt.eq.not	≰	短縮よみ
gt.eq.not	≱	短縮よみ
